Materia,iddomanda,domanda,risposta1,risposta2,risposta3,risposta4,risposta_corretta
BIORISONANZA ED EPIGENETICA,NTBI6,Cosa significa invecchiare?,Nessuna risposta è corretta,L'invecchiamento è un processo fisiologico multifattoriale universale inevitabile irreversibile inarrestabile,Entrambe le risposte sono corrette,L'invecchiamento è causato da 1/3 da fattori genetici e 2/3 da fattori epigenetici,Entrambe le risposte sono corrette
BIORISONANZA ED EPIGENETICA,NTBI7,Cosa sono le Sirtuine?,Le Sirtuine sono delle proteine prodotte in modo fisiologico dal nostro organismo,Le Sirtuine sono delle vitamine prodotte in modo fisiologico dal nostro organismo,Tutte le risposte sono corrette,Nessuna risposta è corretta,Le Sirtuine sono delle proteine prodotte in modo fisiologico dal nostro organismo
BIORISONANZA ED EPIGENETICA,NTBI8,Definizione di epigenetica secondo Conrad Waddington,La serie di modificazioni al materiale genetico che cambia il modo in cui i geni vengono accesi o spenti ma non altre i geni in sé,L'epigenetica è quell'aspetto della biologia che studia la relazione causale tra i geni e il loro prodotti cioè le proteine,Tutte le risposte sono corrette,Nessuna risposta è corretta,L'epigenetica è quell'aspetto della biologia che studia la relazione causale tra i geni e il loro prodotti cioè le proteine
BIORISONANZA ED EPIGENETICA,NTBI9,Domini di coerenza,Fenomeno della fisica,Nessuna risposta è corretta,Le molecole d'acqua oscillano all'unisono e in fase con un campo elettromagnetico risonante,Molecole indipendenti legate da forze elettromagnetiche di corto raggio d'azione,Le molecole d'acqua oscillano all'unisono e in fase con un campo elettromagnetico risonante
BIORISONANZA ED EPIGENETICA,NTBI10,I 3 punti della medicina funzionale,Individualità biochimica vitalità positiva aspetto psicosomatico,Nessuna risposta è corretta,Vitalità positiva aspetto psicosomatico,Individualità biochimica vitalità positiva,Individualità biochimica vitalità positiva aspetto psicosomatico
BIORISONANZA ED EPIGENETICA,NTBI11,I tessuti biologici,Possono ricevere e trasmettere segnali elettrici acustici e magnetici,Possono ricevere tradurre e trasmettere segnali elettrici ma anche acustici magnetici vibrazioni meccaniche e termiche fotoni,Possono ricevere tradurre e trasmettere segnali elettrici,Nessuna risposta è corretta,Possono ricevere tradurre e trasmettere segnali elettrici ma anche acustici magnetici vibrazioni meccaniche e termiche fotoni
BIORISONANZA ED EPIGENETICA,NTBI12,Il DNA viene definito antenna elettromagnetica che funziona da stazione ricetrasmittente,La sua irradiazione è impercettibile,Tutte le risposte sono corrette,La sua irradiazione e caotica,La sua irradiazione è coerente,La sua irradiazione è coerente
BIORISONANZA ED EPIGENETICA,NTBI13,In condizioni di riposo la membrana cellulare è polarizzata,Negativamente,Dipende dalle cellule,Negativamente e positivamente,Positivamente,Negativamente
BIORISONANZA ED EPIGENETICA,NTBI14,L'atomo è composto da,Tutte le risposte sono corrette,Neutroni ed elettroni,Protoni e neutroni,Protoni elettroni neutroni,Protoni elettroni neutroni
BIORISONANZA ED EPIGENETICA,NTBI15,La metilazione,Nessuna risposta è corretta,Il termine metilazione usato in chimica per definire l'addizione o sostituzione di un gruppo metile su vari substrati,Il termine metilazione usato in chimica per definire la sottrazione o sostituzione di un gruppo metile su vari substrati,Tutte le risposte sono corrette,Il termine metilazione usato in chimica per definire l'addizione o sostituzione di un gruppo metile su vari substrati
BIORISONANZA ED EPIGENETICA,NTBI16,La permeabilità cellulare garantisce,L'introduzione nella cellula delle materie prime necessarie al suo sviluppo,La riproduzione e l'eliminazione dei prodotti di rifiuto,Tutte le risposte sono corrette,L'introduzione della cellula delle materie prime necessarie allo sviluppo la riproduzione ed eliminazione dei prodotti di rifiuto,L'introduzione della cellula delle materie prime necessarie allo sviluppo la riproduzione ed eliminazione dei prodotti di rifiuto
BIORISONANZA ED EPIGENETICA,NTBI17,La teoria dei mitocondri,Nessuna risposta è corretta,Ognuno di noi ha l'età dei propri mitocondri,Tutte le risposte sono corrette,Ognuno di noi ha l'età anagrafica,Ognuno di noi ha l'età dei propri mitocondri
BIORISONANZA ED EPIGENETICA,NTBI18,Le Sirtuine si attivano,Nessuna risposta è corretta,Entrambe le risposte sono corrette,In condizioni ipercaloriche,In condizioni di digiuno,In condizioni di digiuno
BIORISONANZA ED EPIGENETICA,NTBI19,Legge di Indeterminazione di Eisenberg,Non si può mai conoscere la posizione ma si può conoscere la velocità di un elettrone,Non si può mai conoscere esattamente la posizione e la velocità di un elettrone,Nessuna risposta è corretta,Si può conoscere esattamente la posizione e la velocità di un elettrone,Non si può mai conoscere esattamente la posizione e la velocità di un elettrone
BIORISONANZA ED EPIGENETICA,NTBI20,Mediante esami di laboratorio possono essere misurati gli indici di senescenza,Compromissione dell'integrità della struttura del DNA,Squilibri neuroendocrini modificazioni della membrana cellulare e dell'ambiente extracellulare,Tutte le risposte sono corrette,Metilazione infiammazione cronica silente stress ossidativo,Tutte le risposte sono corrette
BIORISONANZA ED EPIGENETICA,NTBI21,Primo dispositivo che utilizza le informazioni delle oscillazioni elettromagnetiche per scopi terapeutici,Voll,Jenny,Nessuna risposta corretta,Morrell,Voll
BIORISONANZA ED EPIGENETICA,NTBI22,Quali sono i fattori che influenzano il nostro benessere?,Aria acqua ambiente cibo luce-sole,Nessuna risposta è corretta,Movimento postura campi elettromagnetici pensieri emozioni,Tutte le risposte sono corrette,Tutte le risposte sono corrette
BIORISONANZA ED EPIGENETICA,NTBI23,Radiazioni ionizzanti,Nessuna risposta corretta,Una radiazione è ionizzante quando trasporta elettroni ionizzati,Una radiazione è ionizzante quando non trasporta abbastanza energia,Una radiazione ionizzante quando trasporta abbastanza energia da liberare elettroni da atomi o molecole ionizzandoli,Una radiazione ionizzante quando trasporta abbastanza energia da liberare elettroni da atomi o molecole ionizzandoli
BIORISONANZA ED EPIGENETICA,NTBI24,Risonanza di Schumann,Nessuna risposta è corretta,È un sistema elettromagnetico in costante vibrazione che crea onde a bassissima frequenza,È un sistema elettromagnetico che crea onde ad alta frequenza,È un sistema oscillante generato tra forze opposte tra superficie terrestre e ionosfera,È un sistema oscillante generato tra forze opposte tra superficie terrestre e ionosfera
BIORISONANZA ED EPIGENETICA,NTBI25,Teoria dei biofotoni di Popp,Il termine biofotoni indica l'emissione di energia che si propaga alla velocità della luce,Nessuna risposta è corretta,I biofotoni indicano emissione di quanti di energia,Il termine biofotoni indica l'emissione di energia che si propaga alla velocità della luce da parte di sistemi viventi,Il termine biofotoni indica l'emissione di energia che si propaga alla velocità della luce da parte di sistemi viventi
DIRITTO,NTDI1,Articolo 3 della Costituzione introduce il principio di Uguaglianza inteso come?,Diritto di uguaglianza sostanziale formale,Diritto di tutti i cittadini ad essere considerati formalmente uguali,Diritto di tutti i cittadini ad essere considerati uguali davanti alla legge,Tutte le risposte sono corrette,Tutte le risposte sono corrette
DIRITTO,NTDI2,Che cosa si intende per dati particolari o sensibili ragionando nell'ambito dell'attività di MCB?,Riguardanti i recapiti telefonici del paziente,Riguardanti lo stato di salute,Riguardanti l'identificazione di quella persona o di quel paziente,Nessuna delle risposte è corretta,Riguardanti lo stato di salute
DIRITTO,NTDI3,Cosa afferma l'articolo 32 della Costituzione?,Il diritto per il lavoratore ad un ambiente che tuteli la propria salute,Il diritto al mantenimento in caso di infortunio malattia vecchiaia,La tutela della salute come diritto dell'individuo ed interesse della collettività,La libertà di manifestare per il proprio pensiero,La tutela della salute come diritto dell'individuo ed interesse della collettività
DIRITTO,NTDI4,Cosa prevede l'articolo 22 della Costituzione?,Nessuno può essere privato per motivi politici della capacità giuridica della cittadinanza e del nome,La scuola è aperta a tutti,La Repubblica promuove la scienza e la cultura,Il diritto di associazione e riunione,Nessuno può essere privato per motivi politici della capacità giuridica della cittadinanza e del nome
DIRITTO,NTDI5,Cosa si intende per deontologia sanitaria?,Lo studio di regole sanitarie,La scienza che studia fenomeni analoghi in natura,L'insieme delle norme di comportamento riguardanti i doveri dell'operatore sanitario nei suoi rapporti con i pazienti e con gli altri operatori sanitari,L'insieme delle regole morali che disciplinano l'esercizio di un'attività,L'insieme delle norme di comportamento riguardanti i doveri dell'operatore sanitario nei suoi rapporti con i pazienti e con gli altri operatori sanitari
DIRITTO,NTDI6,Cosa si intende per lavoratore subordinato?,Colui che si obbliga mediante retribuzione a collaborare nell'impresa prestando il proprio lavoro intellettuale o manuale alle dipendenze sotto la direzione dell'imprenditore,Colui che si obbliga mediante retribuzione a collaborare nell'impresa prestando lavoro intellettuale all'indipendenze sotto la direzione dell'imprenditore,Colui che si obbliga mediante l'intribuzione al collaborare dell'impresa prestando prestando lavoro intellettuale o manuale in modo del tutto autonomo,Nessuna risposta è corretta,Colui che si obbliga mediante retribuzione a collaborare nell'impresa prestando il proprio lavoro intellettuale o manuale alle dipendenze sotto la direzione dell'imprenditore
DIRITTO,NTDI7,Cosa si intende per norma giuridica?,Un precetto etico di condotta,Una regola di buona salute,Nessuna risposta è corretta,Una regola di condotta stabilita da autorità che vuol dire scritta o convenuta di comune accordo e di origine consuetudinaria,Una regola di condotta stabilita da autorità che vuol dire scritta o convenuta di comune accordo e di origine consuetudinaria
DIRITTO,NTDI8,I diritti reali sono?,Diritti soggettivi assoluti,Diritti soggettivi relativi,Diritti collettivi,Diritti potestativi,Diritti soggettivi assoluti
DIRITTO,NTDI9,I lavoratori subordinati sono classificati in?,Operai e impiegati,Operai impiegati quadri dirigenti,Operai apprendisti e impiegati,,Operai e impiegati
DIRITTO,NTDI10,I presupposti essenziali del contratto sono? (VERIFICARE),Accordo causa oggetto atto notarile,Accordo causa oggetto condizione,Accordo causa oggetto forma scritta,Le risposte A e C sono entrambe corrette,Le risposte A e C sono entrambe corrette
DIRITTO,NTDI11,Il lavoratore subordinato ha l'obbligo di?,Prendersi cura della propria sicurezza durante il lavoro,Obbedire al datore di lavoro con diligenza e fedeltà,Comunicare solo con rappresentante dei lavoratori per la sicurezza RLS,Sono corrette le risposte A e B,Sono corrette le risposte A e B
DIRITTO,NTDI12,In base alle normative vigenti che cosa si intende per stato di salute?,L'assenza di malattia,La sensazione soggettiva di piena efficienza,Nessuna risposta è corretta,Lo stato di completo benessere fisico mentale sociale ed emotivo,Lo stato di completo benessere fisico mentale sociale ed emotivo
DIRITTO,NTDI13,In che modo la Costituzione tutela la salute in Italia?,Nella Costituzione non è tutelata la salute,La Costituzione tutela la salute come diritto fondamentale dell'individuo,La Costituzione tutela la salute come diritto fondamentale solo delle persone portatrici di handicap,La Costituzione tutela salute come diritto fondamentale dell'individuo e interesse della collettività garantendo la possibilità di curarsi anche agli indigenti,La Costituzione tutela salute come diritto fondamentale dell'individuo e interesse della collettività garantendo la possibilità di curarsi anche agli indigenti
DIRITTO,NTDI14,L'articolo 2 della Costituzione stabilisce che?,Il principio di unità della Repubblica,Il principio democratico,Il principio di solidarietà politica sociale ed economica,Il principio di uguaglianza di tutti i cittadini davanti alla legge,Il principio di solidarietà politica sociale ed economica
DIRITTO,NTDI15,L'articolo 36 della Costituzione afferma che il lavoratore ha diritto?,Alle ferie,A riposo settimanale,Ad essere retribuito in proporzione alla qualità e quantità del lavoro svolto,Le tre risposte sopra sono corrette,Le tre risposte sopra sono corrette
DIRITTO,NTDI16,L'articolo 38 della Costituzione stabilisce?,Il riconoscimento del diritto al mantenimento dell'assistenza sociale della persona inabile al lavoro e sprovvista di mezzi,La legge è uguale per tutti i cittadini; la libertà di movimento delle persone,L'inviolabilità e la segretezza della corrispondenza,,Il riconoscimento del diritto al mantenimento dell'assistenza sociale della persona inabile al lavoro e sprovvista di mezzi
DIRITTO,NTDI17,L'attività di MCB in ambito sanitario può essere svolta?,Solo su soggetti sani,Solo su soggetti con patologie neurologiche,In ambito sanitario qualunque sia la problematica del cliente e indipendentemente dalla prescrizione medica,Esclusivamente dietro prescrizione medica,Esclusivamente dietro prescrizione medica
DIRITTO,NTDI18,La capacità di stipulare un contratto valido di assicurazione si ha?,Quando a sinistra lavorare; quando il giudice tutelare ci autorizza,Al compimento della maggiore età,Sin dal momento della nascita,,Al compimento della maggiore età
DIRITTO,NTDI19,La detrabilità delle fatture emesse dall'MCB per trattamenti su prescrizione medica è prevista da?,Circolare Agenzia delle Entrate numero 7/e del 2021,Circolare del Ministero della Salute numero 24/E del 2022,Entrambe le risposte sono corrette,Circolare Agenzia delle Entrate numero 14/E del 2023,Circolare Agenzia delle Entrate numero 7/e del 2021
DIRITTO,NTDI20,Le fonti di cognizione sono?,Il decreto legge e il decreto legislativo,La Gazzetta ufficiale la Gazzetta dell'Unione Europea il Bollettino Ufficiale Regionale,I mezzi che permettono ai cittadini di venire a conoscenza delle nuove fonti di produzione,Entrambe le risposte B e C sono corrette,Entrambe le risposte B e C sono corrette
DIRITTO,NTDI21,Qual è il codice ateco per l'MCB in ambito sanitario dal primo aprile 2025?,87.39.01,9609.09.00,Entrambe le risposte A e B sono corrette,Nessuna risposta è corretta,87.39.01
DIRITTO,NTDI22,Qual è il regolamento attuativo della legge dello Stato che ha istituito la figura dell'MCB?,L. 1264/1927,R.D. 1334/1928,R.D. 1265/1934,R.D 1310/1940,R.D. 1334/1928
DIRITTO,NTDI23,Qual è la legge dello Stato che ha istituito la figura dell'MCB?,L. 1264/1927,R.D. 1334/1928,R.D. 1265/1934,R.D 1310/1940,L. 1264/1927
DIRITTO,NTDI24,Qual è la norma che prevede l'esenzione da IVA delle prestazioni della MCB in ambito sanitario?,D.P.R. 633/1972 Art. 10 comma 1 N. 18,D.P.R. 225/2018 Art. 3 comma 2,R.D. 1334/1928,Nessuna risposta è corretta,D.P.R. 633/1972 Art. 10 comma 1 N. 18
DIRITTO,NTDI25,Quali sono gli obblighi del lavoratore dipendente?,Essere sempre attento e vigile,Rispettare l'orario di lavoro,Nessuna risposta è corretta,Prestare la propria attività lavorativa con obbedienza fedeltà e diligenza,Prestare la propria attività lavorativa con obbedienza fedeltà e diligenza
DIRITTO,NTDI26,Quali sono le fonti di rango primario di produzione del diritto? (VERIFICARE),Leggi ordinarie dello Stato Costituzione referendum abrogativo e decreto legge,D.lgsl. D.L. Leggi ordinarioe L.R. etc.,Costituzione. Leggi ordinarie. Decreti Legge. Decreti legislativi,Costituzione. Regolamenti governativi. Regolamenti dell'U.E.,D.lgsl. D.L. Leggi ordinarioe L.R. etc.
DIRITTO,NTDI27,Quando è entrata in vigore la Costituzione italiana?,Il 2 giugno 1945,L'1 gennaio 1948,Il 25 aprile 1912,Il 9 settembre 1918,L'1 gennaio 1948
FISIOLOGIA,NTFI1,Cosa si intende per ischemia?,Diminuzione o soppressione dell'apporto di sangue in un determinato distretto corporeo,Una insufficiente forza di contrazione del cuore è una delle più importanti conseguenze di coloro che hanno subito uno o più infarti miocardici,Complesso di sintomi obiettivi e soggettivi che caratterizza un determinato quadro clinico,Quantità di sangue pompata dal cuore al minuto.,Diminuzione o soppressione dell'apporto di sangue in un determinato distretto corporeo
FISIOLOGIA,NTFI2,Fanno parte dei traumi meccanici:,Abrasione e contusione,Ustioni di primo e secondo grado,Danni da elettricità,Danni da radiazioni.,Abrasione e contusione
FISIOLOGIA,NTFI3,I vasi sanguigni di una persona adulta ricoprono complessivamente la distanza di:,15 km,150 km,250.000 km,25.000 km,250.000 km
FISIOLOGIA,NTFI4,Il compito della cistifellea è:,Accumulare la bile durante il digiuno riversandola nel tratto iniziale dell'intestino tenue dopo i pasti,Riversare il proprio contenuto nell'ileo.,Riversa il proprio contenuto nello stomaco,Riversa il proprio contenuto a livello del cardias.,Accumulare la bile durante il digiuno riversandola nel tratto iniziale dell'intestino tenue dopo i pasti
FISIOLOGIA,NTFI5,Il Diabete:,Può essere di tipo 3 o 4 negli anziani,Non può manifestarsi in donne in stato di gravidanza,Può essere di tipo 1 2 o gestazionale,Non ha a che fare in alcun modo con l'insulina.,Può essere di tipo 1 2 o gestazionale
FISIOLOGIA,NTFI6,Il Sistema Endocrino:,È strettamente connesso al sistema nervoso,È formato da ghiandole ematocrite e fibrina,Non produce ormoni che viaggiano nel torrente ematico,Produce sostanze chiamate globuli bianchi.,È strettamente connesso al sistema nervoso
FISIOLOGIA,NTFI7,Il termine Fisiologia:,È sinonimo del termine Anatomia,Significa Discorso ragionamento sulla Natura,È la scienza biologica che studia la forma e la struttura degli esseri viventi distinta secondo che abbia per oggetto l'uomo gli animali o le piante,La tendenza naturale al raggiungimento di una relativa stabilità sia delle proprietà chimico-fisiche interne sia comportamentali.,Significa Discorso ragionamento sulla Natura
FISIOLOGIA,NTFI8,Individua la risposta errata:,Circoscrivere il distretto danneggiato,Combattere la causa del danno,Dare avvio alla riparazione per ripristinare la condizione normale,Promuovere il processo di necrosi tessutale,Promuovere il processo di necrosi tessutale
FISIOLOGIA,NTFI9,Individua la risposta esatta: (VERIFICARE),Lo sfintere di Oddi è costituito da muscolatura liscia in persistente stato di contrazione,Il processo digestivo non inizia in bocca,La saliva non interviene nella digestione,La peristalsi è un processo volontario.,Lo sfintere di Oddi è costituito da muscolatura liscia in persistente stato di contrazione
FISIOLOGIA,NTFI10,L'Aritmia:,È una attività elettrica del muscolo cardiaco non ordinata,Indica che le cellule del cuore si muovono in maniera disordinata,Indica una frequenza cardiaca accelerata,Indica una frequenza cardiaca rallentata.,È una attività elettrica del muscolo cardiaco non ordinata
FISIOLOGIA,NTFI11,L'intestino tenue:,È lungo circa 7 metri,È lungo circa 12 metri,È più corto rispetto al crasso,Sfocia nello stomaco.,È lungo circa 7 metri
FISIOLOGIA,NTFI12,La mialgia può essere:,Aperta o chiusa,Lontana o vicina,Localizzata o diffusa,Monolocale o bifocale.,Localizzata o diffusa
FISIOLOGIA,NTFI13,La Placca Neuromuscolare:,Non ha a che fare con la contrazione muscolare,Consente la trasmissione dell'impulso nervoso tra una terminazione del nervo motore ed il muscolo,Riguarda solo il sistema nervoso somatico.,,Consente la trasmissione dell'impulso nervoso tra una terminazione del nervo motore ed il muscolo
FISIOLOGIA,NTFI14,La Sistole Atriale:,Non esiste è solo ventricolare,Può avvenire sia sull'atrio destro che sinistro,È sinonimo di diastole striale,È sinonimo di diastole ventricolare;,Può avvenire sia sull'atrio destro che sinistro
FISIOLOGIA,NTFI15,Nel tratto gastrointestinale avviene:,La produzione dell'urina,La produzione dell'espettorato,Il movimento del cibo (motilità),Lo scambio aria-sangue.,Il movimento del cibo (motilità)
FISIOLOGIA,NTFI16,Riguardo il ciclo cardiaco si può sostenere che: (DOPPIA MA CON RISP DIVERSE),Dal ventricolo sinistro il sangue ricco di anidride carbonica si dirige verso i polmoni,Dal ventricolo destro il sangue ricco di anidride carbonica si dirige verso il corpo intero,Dal ventricolo sinistro il sangue ricco di ossigeno si dirige verso i polmoni,Dal ventricolo destro il sangue ricco di anidride carbonica si dirige verso i polmoni.,Dal ventricolo destro il sangue ricco di anidride carbonica si dirige verso i polmoni.
FISIOLOGIA,NTFI17,Riguardo il ciclo cardiaco si può sostenere che: (DOPPIA MA CON RISP DIVERSE),La piccola circolazione viene anche chiamata circolazione sistemica,La grande circolazione viene anche chiamata circolazione polmonare,La circolazione polmonare viene anche chiamata piccola circolazione,La circolazione è una sola e viene chiamata circolazione sistemica.,La circolazione polmonare viene anche chiamata piccola circolazione
IDROCOLONTERAPIA,NTID1,Cos'è il misuratore termostatico?,Uno strumento atto a misurare la temperatura,Uno strumento per misurare la pressione,Uno strumento per la variazione di campo elettromagnetico,Uno strumento per misurare l'acidità di un liquido,Uno strumento atto a misurare la temperatura
IDROCOLONTERAPIA,NTID2,Cos'è la Disbiosi?,È un disequilibrio del microbiota,È un equilibrio del microbiota,È l'aumento della pressione arteriosa,È una disfunzione sanguigna,È un disequilibrio del microbiota
IDROCOLONTERAPIA,NTID3,Dopo una seduta di Idrocolonterapia il paziente deve,Rispettare almeno 5 ore di riposo e digiuno,Può condurre una vita sociale normale,Deve stare solo a digiuno,Non può bere acqua per 5 ore,Può condurre una vita sociale normale
IDROCOLONTERAPIA,NTID4,Durante un trattamento di Idrocolonterapia l'acqua deve uscire una pressione di circa,1 bar,Diecimila etto Pascal,3 bar,Nessuna delle precedenti,1 bar
IDROCOLONTERAPIA,NTID5,È meno invasivo la pratica dell'Idrocolonterapia o un clistere?,È meno invasivo il clistere,È meno invasiva l'Idrocolonterapia,È la stessa cosa,È meno invasivo il clistere perché si usa poca acqua,È meno invasiva l'Idrocolonterapia
IDROCOLONTERAPIA,NTID6,In caso di rettocolite ulcerosa è consigliabile effettuare un ciclo di prestazioni di Idrocolonterapia?,Si,No,Si ma solo se un paziente ha i referti ematici nella norma,Si ma solo se il sanguinamento non è eccessivo,No
IDROCOLONTERAPIA,NTID7,In quale ora del giorno può essere praticata una prestazione di Idrocolonterapia?,Solo di Mattina e a digiuno,Solo di mattina,A qualsiasi ora del giorno ma necessariamente a digiuno,A qualsiasi ora del giorno,A qualsiasi ora del giorno ma necessariamente a digiuno
IDROCOLONTERAPIA,NTID8,L'Idrocolonterapia e utile per la cura delle infezioni all'apparato escretore?,Si,No,Solo se non sono presenti infezioni,Solo negli uomini ma non nelle donne,Si
IDROCOLONTERAPIA,NTID9,La temperatura dell'acqua di quanti gradi deve essere durante il trattamento di Idrocolonterapia?,Circa 18 gradi Celsius,Non più di 28 gradi Celsius,Circa 38 gradi Celsius,Non più di 48 gradi Celsius,Circa 38 gradi Celsius
IDROCOLONTERAPIA,NTID10,Nella Scala di Bristol a quale Tipo appartiene il materiale fecale con forma di salsiccia o serpente liscia e morbida?,Tipo 1,Tipo 4,Tipo 5,Tipo 7,Tipo 4
IDROCOLONTERAPIA,NTID11,Nella Scala di Bristol a quale Tipo appartiene il materiale fecale simile alla forma di salsiccia grumosa?,Tipo 1,Tipo 2,Tipo 3,Tipo 6,Tipo 2
IDROCOLONTERAPIA,NTID12,Nella Scala di Bristol a quale Tipo appartiene il materiale fecale con grumi morbidi ben definiti?,Tipo 1,Tipo 3,Tipo 5,Tipo 7,Tipo 5
IDROCOLONTERAPIA,NTID13,Nella Scala di Bristol a quale Tipo appartiene il materiale fecale con pezzi lanuginosi con bordi frastagliati e feci pastose?,Tipo 1,Tipo 3,Tipo 5,Tipo 6,Tipo 6
